detector,accuracy,precision,recall,f1,specificity,f1_std,sybil_rate,seed,fit_time_s,attack_model
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,30,1000,0.51,split_position
Random Forest,0.9998,0.9994,1.0,0.9997,0.9997,0.0006,30,1000,1.91,split_position
LSTM,0.9565,1.0,0.8333,0.9091,1.0,0.0,30,1000,9.08,split_position
Dynamic k-Means,1.0,1.0,1.0,1.0,1.0,0.0,30,1000,0.05,split_position
IQR Speed Threshold,0.3332,0.3332,1.0,0.4999,0.0,0.0,35,1000,0.04,split_position
RSU Position Verification,0.8624,0.8218,0.7495,0.784,0.9188,0.0,35,1000,7.36,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,35,1000,0.57,split_position
Random Forest,0.9996,0.9987,1.0,0.9994,0.9993,0.0004,35,1000,1.71,split_position
LSTM,1.0,1.0,1.0,1.0,1.0,0.0,35,1000,9.79,split_position
Dynamic k-Means,0.9979,0.9938,1.0,0.9969,0.9969,0.0,35,1000,0.05,split_position
IQR Speed Threshold,1.0,1.0,1.0,1.0,1.0,0.0,40,1000,0.03,split_position
RSU Position Verification,0.8667,0.922,0.7233,0.8107,0.9601,0.0,40,1000,7.39,split_position
TASER Bayesian Trust,1.0,1.0,1.0,1.0,1.0,0.0,40,1000,0.58,split_position
Random Forest,0.9997,0.9992,1.0,0.9996,0.9995,0.0004,40,1000,1.9,split_position
LSTM,0.8889,0.8889,0.8,0.8421,0.9412,0.0,40,1000,10.15,split_position
Dynamic k-Means,0.9813,0.9547,1.0,0.9768,0.9691,0.0,40,1000,0.05,split_position
